Brand,Model,Price,processor_brand,processor_tier,num_cores,num_threads,RAM,primary_storage_type,Storage,gpu_brand,gpu_type,display_size,OS
hp,HP 250 G9 7M659PA Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),44490,intel,core i3,6,8,8,SSD,512,intel,integrated,15.6,windows
asus,Asus Chromebook CX1500CKA-EJ0275 Laptop (Celeron N4500/ 8GB/ 64GB eMMC/ Chrome OS),22991,intel,celeron,2,2,8,SSD,64,intel,integrated,15.6,chrome
gigabyte,Gigabyte G5 KF-E3IN313SH Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 8GB Graph),89990,intel,core i5,12,16,8,SSD,512,nvidia,dedicated,15.6,windows
lenovo,Lenovo IdeaPad Slim 5 16IAH8 83BG000PIN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),62190,intel,core i5,8,12,16,SSD,512,intel,integrated,16,windows
asus,Asus Vivobook 16X K3605ZU-MBN742WS Laptop (12th Gen Core i7/ 16 GB RAM/ 512 GB SSD/ Win 11/ 6GB Graphics),98468,intel,core i7,10,16,16,SSD,512,nvidia,dedicated,16,windows
lenovo,Lenovo IdeaPad Flex 5 82Y0004YIN Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),58990,intel,core i3,6,8,8,SSD,512,intel,integrated,14,windows
lenovo,Lenovo IdeaPad Slim 5 14IAH8 83BF000UIN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),60190,intel,core i5,8,12,16,SSD,512,intel,integrated,14,windows
fujitsu,Fujitsu UH-X 4ZR1M37246 Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),73990,intel,core i5,10,12,16,SSD,512,intel,integrated,14,windows
lenovo,Lenovo IdeaPad Slim 5 82XE0072IN Laptop (AMD Ryzen 7 7730U/ 16GB/ 512GB SSD/ Win11),64190,amd,ryzen 7,8,16,16,SSD,512,amd,integrated,14,windows
lenovo,Lenovo IdeaPad Slim 3 82XQ008UIN Laptop (AMD Ryzen 5 7520U/ 8GB/ 512GB SSD/ Win11 Home),41990,amd,ryzen 5,4,8,8,SSD,512,amd,integrated,15.6,windows
lenovo,Lenovo IdeaPad Slim 3 82XQ0096IN Laptop (AMD Ryzen 5 7520U/ 16GB/ 512GB SSD/ Win11 Home),44990,amd,ryzen 5,4,8,16,SSD,512,amd,integrated,15.6,windows
lenovo,Lenovo V15 G3 IAP 82TT004VIH Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ DOS),45490,intel,core i5,10,12,8,SSD,512,intel,integrated,15.6,dos
asus,Asus Vivobook 16X K3605ZC-MBN542WS Laptop (12th Gen Core i5/ 16 GB RAM/ 512 GB SSD/ Win 11/ 4 GB Graphics),75990,intel,core i5,8,12,16,SSD,512,nvidia,dedicated,16,windows
asus,Asus Vivobook 16X K3605ZC-MBN541WS Laptop (12th Gen Core i5/ 16 GB RAM/ 512 GB SSD/ Win 11/ 4 GB Graphics),75990,intel,core i5,8,12,16,SSD,512,nvidia,dedicated,16,windows
asus,Asus Vivobook 16X K3605ZU-MBN541WS Laptop (12th Gen Core i5/ 16 GB RAM/ 512 GB SSD/ Win 11/ 6GB Graphics),94369,intel,core i5,8,12,16,SSD,512,nvidia,dedicated,16,windows
msi,MSI Thin GF63 11UC-1291IN Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),62990,intel,core i5,6,12,16,SSD,512,nvidia,dedicated,15.6,windows
lenovo,Lenovo Thinkpad E15 21E6S0W700 Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),47490,intel,core i3,6,8,8,SSD,512,intel,integrated,15.6,windows
msi,MSI Katana 15 B12UDXK-1004IN Gaming Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),94990,intel,core i7,10,16,16,SSD,512,nvidia,dedicated,15.6,windows
acer,Acer TMP214-41-G3 UN.VSQSI.007 Notebook (AMD Ryzen 5 5500U/ 16GB/ 512GB SSD/ Win11 Home),36990,amd,ryzen 5,6,12,16,SSD,512,amd,integrated,14,windows
acer,Acer TMP214-41-G3 UN.VSQSI.006 Notebook (AMD Ryzen 5 5500U/ 8GB/ 512GB SSD/ Win11 Home),41990,amd,ryzen 5,6,12,8,SSD,512,amd,integrated,14,windows
asus,Asus VivoBook 15 X1504ZA-NJ326WS Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),40926,intel,core i3,6,8,8,SSD,512,intel,integrated,15.6,windows
asus,Asus Vivobook Pro 15 OLED M6500QC-LK541WS Laptop (Ryzen 5 5600H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),71600,amd,ryzen 5,6,12,16,SSD,512,nvidia,dedicated,15.6,windows
asus,Asus Vivobook Go 14 2023 E1404FA-NK327WS Laptop (Ryzen 3 7320U / 8GB/ 512GB SSD/ Win11 Home),33990,amd,ryzen 3,4,8,8,SSD,512,amd,integrated,14,windows
hp,HP Omen 16-xf0043AX Gaming Laptop (AMD Ryzen 9 7940HS/ 32GB/ 1TB SSD/ Win11/ 8GB Graph),182990,amd,ryzen 9,8,16,32,SSD,1024,nvidia,dedicated,16.1,windows
dell,Dell Vostro 3520 Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11),37490,intel,core i3,2,4,8,SSD,512,intel,integrated,15.6,windows
dell,Dell Inspiron 5430 IN54308DXWP001ORS1 Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11),85990,intel,core i7,10,12,16,SSD,1024,intel,integrated,14,windows
asus,Asus TUF Gaming F15 FX506HF-HN076W Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),57990,intel,core i5,6,12,16,SSD,512,nvidia,dedicated,15.6,windows
hp,HP Victus 15-fb1018AX Gaming Laptop (AMD Ryzen 5 7535HS/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),58070,amd,ryzen 5,6,12,8,SSD,512,nvidia,dedicated,15.6,windows
fujitsu,Fujitsu UH-X 4ZR1L73352 2-in-1 Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11),109990,intel,core i7,12,16,16,SSD,1024,intel,integrated,14,windows
hp,HP 15S-EQ1550AU Laptop (AMD Ryzen 3 3250U/ 8 GB RAM/ 512 GB SSD/ Win 11),31990,amd,ryzen 3,2,4,8,SSD,512,amd,integrated,15.6,windows
hp,HP Omen 16-wf0056TX 834U0PA Gaming Laptop (13th Gen Core i7/ 16 GB RAM/ 512 GB SSD/ Win 11/ 8 GB Graphics),152990,intel,core i7,16,24,16,SSD,512,nvidia,dedicated,16.1,windows
lenovo,Lenovo IdeaPad Gaming 3i 82K101GTIN Laptop (11th Gen Core i5/ 8 GB RAM/ 512 GB SSD/ Win 11/ 4 GB Graphics),58850,intel,core i5,4,8,8,SSD,512,nvidia,dedicated,15.6,windows
